"","1:length(ImmuneSeuratObject@meta.data$nFeature_RNA)","CellID","CellType"
"280",280,"SRR10783795","Bcell"
"281",281,"SRR10783800","Tcell"
"282",282,"SRR10783910","Bcell_Mem"
"283",283,"SRR10783945","Tcell"
"284",284,"SRR10783970","Bcell_Mem"
"285",285,"SRR10784000","Bcell"
"286",286,"SRR10784005","Tcell"
"287",287,"SRR10784050","Macrophage"
"288",288,"SRR10784070","Macrophage"
"289",289,"SRR10784080","Tcell"
"290",290,"SRR10784105","pDCs"
"291",291,"SRR10784140","Macrophage"
"292",292,"SRR10784145","Bcell_Mem"
"293",293,"SRR10784155","Tcell"
"294",294,"SRR10784195","Tcell"
"295",295,"SRR10784210","Macrophage"
"296",296,"SRR10784225","Macrophage"
"297",297,"SRR10784240","Dendritic"
"298",298,"SRR10784245","Bcell_PB"
"299",299,"SRR10784250","Tcell"
"300",300,"SRR10784265","Macrophage"
"301",301,"SRR10784305","Tcell"
"302",302,"SRR10784325","Tcell"
"303",303,"SRR10784370","Tcell"
"304",304,"SRR10784375","Macrophage"
"305",305,"SRR10784395","Tcell"
"306",306,"SRR10784420","Tcell"
"307",307,"SRR10784440","Bcell_PB"
"308",308,"SRR10784445","Dendritic"
"309",309,"SRR10784455","Tcell"
"310",310,"SRR10784475","Macrophage"
"311",311,"SRR10784560","Tcell"
"312",312,"SRR10784565","Bcell_Mem"
"313",313,"SRR10784585","Tcell"
"314",314,"SRR10784630","Bcell_Mem"
"315",315,"SRR10784655","Macrophage"
"316",316,"SRR10784670","Macrophage"
"317",317,"SRR10784685","Tcell"
"318",318,"SRR10784700","Tcell"
"319",319,"SRR10784705","Bcell_Mem"
"320",320,"SRR10784710","Bcell_Mem"
"321",321,"SRR10784720","Tcell"
"322",322,"SRR10784735","Tcell"
"323",323,"SRR10784750","Macrophage"
"324",324,"SRR10784800","Tcell"
"325",325,"SRR10784830","Mast"
"326",326,"SRR10784845","Bcell"
"327",327,"SRR10784880","Macrophage"
"328",328,"SRR10784900","Tcell"
"329",329,"SRR10784930","Tcell"
"330",330,"SRR10784945","Dendritic"
"331",331,"SRR10784975","Bcell_PB"
"332",332,"SRR10784990","Bcell_PB"
"333",333,"SRR10784995","Tcell"
"334",334,"SRR10785070","Macrophage"
"335",335,"SRR10785105","Dendritic"
"336",336,"SRR10785110","Bcell"
"337",337,"SRR10785115","Macrophage"
"338",338,"SRR10785130","pDCs"
"339",339,"SRR10785140","Bcell_PB"
"340",340,"SRR10785190","Tcell"
"341",341,"SRR10785245","Macrophage"
"342",342,"SRR10785275","Bcell_PB"
"343",343,"SRR10785285","Tcell"
"344",344,"SRR10785290","Tcell"
"345",345,"SRR10785305","Bcell_Mem"
"346",346,"SRR10785325","Macrophage"
"347",347,"SRR10785335","Tcell"
"348",348,"SRR10785360","Tcell"
"349",349,"SRR10785375","Tcell"
"350",350,"SRR10785400","Bcell_Mem"
"351",351,"SRR10785430","Neutrophils"
"352",352,"SRR10785435","Tcell"
"353",353,"SRR10785500","Macrophage"
"354",354,"SRR10785505","Bcell_Mem"
"355",355,"SRR10785515","Tcell"
"356",356,"SRR10785570","Tcell"
"357",357,"SRR10785620","pDCs"
"358",358,"SRR10785645","Macrophage"
"359",359,"SRR10785660","Dendritic"
"360",360,"SRR10785665","Bcell_Mem"
"361",361,"SRR10785685","Bcell_Mem"
"362",362,"SRR10785760","Tcell"
"363",363,"SRR10785770","Tcell"
"364",364,"SRR10785785","Macrophage"
"365",365,"SRR10785820","Tcell"
"366",366,"SRR10785835","Tcell"
"367",367,"SRR10785870","Macrophage"
"368",368,"SRR10785945","Bcell_PB"
"369",369,"SRR10785955","Tcell"
"370",370,"SRR10785975","Macrophage"
"371",371,"SRR10786090","Tcell"
"372",372,"SRR10786105","Tcell"
"373",373,"SRR10786125","Tcell"
"374",374,"SRR10786135","Tcell"
"375",375,"SRR10786145","Macrophage"
"376",376,"SRR10786185","Bcell_PB"
"377",377,"SRR10786195","Bcell_Mem"
"378",378,"SRR10786235","Macrophage"
"379",379,"SRR10786240","Macrophage"
"380",380,"SRR10786250","Tcell"
"381",381,"SRR10786255","pDCs"
"382",382,"SRR10786295","Macrophage"
"383",383,"SRR10786305","Macrophage"
"384",384,"SRR10786315","Tcell"
"385",385,"SRR10786365","Macrophage"
"386",386,"SRR10786380","Tcell"
"387",387,"SRR10786385","Dendritic"
"388",388,"SRR10786405","Bcell_PB"
"389",389,"SRR10786425","Macrophage"
"390",390,"SRR10786440","Tcell"
"391",391,"SRR10786445","Bcell_PB"
"392",392,"SRR10786470","Tcell"
"393",393,"SRR10786485","Bcell_PB"
"394",394,"SRR10786510","Macrophage"
"395",395,"SRR10786515","pDCs"
"396",396,"SRR10786530","Bcell_Mem"
"397",397,"SRR10786560","Macrophage"
"398",398,"SRR10786585","Bcell_PB"
"399",399,"SRR10786640","Tcell"
"400",400,"SRR10786645","Dendritic"
"401",401,"SRR10786725","Tcell"
"402",402,"SRR10786780","Bcell_Mem"
"403",403,"SRR10786795","Macrophage"
"404",404,"SRR10786820","Tcell"
"405",405,"SRR10786855","Macrophage"
"406",406,"SRR10786880","Dendritic"
"407",407,"SRR10786890","Tcell"
"408",408,"SRR10786910","Tcell"
"409",409,"SRR10786925","Bcell_PB"
"410",410,"SRR10787005","Bcell_PB"
"411",411,"SRR10787010","Tcell"
"412",412,"SRR10787020","Tcell"
"413",413,"SRR10787045","Bcell_PB"
"414",414,"SRR10787050","Macrophage"
"415",415,"SRR10787070","Macrophage"
"416",416,"SRR10787125","Macrophage"
"417",417,"SRR10787135","Tcell"
"418",418,"SRR10787165","Tcell"
"419",419,"SRR10787175","Tcell"
"420",420,"SRR10787180","Macrophage"
"421",421,"SRR10787205","Bcell_Mem"
"422",422,"SRR10787210","Bcell_Mem"
"423",423,"SRR10787250","Tcell"
"424",424,"SRR10787300","Macrophage"
"425",425,"SRR10787310","Tcell"
"426",426,"SRR10787360","Macrophage"
"427",427,"SRR10787385","Bcell"
"428",428,"SRR10787390","Bcell_Mem"
"429",429,"SRR10787395","Bcell_PB"
"430",430,"SRR10787400","Macrophage"
"431",431,"SRR10787435","Macrophage"
"432",432,"SRR10787440","Tcell"
"433",433,"SRR10787455","Tcell"
"434",434,"SRR10787460","Bcell_PB"
"435",435,"SRR10787470","Bcell_Mem"
"436",436,"SRR10787500","Macrophage"
"437",437,"SRR10787510","Bcell_PB"
"438",438,"SRR10787515","pDCs"
"439",439,"SRR10787525","Tcell"
"440",440,"SRR10787545","Macrophage"
"441",441,"SRR10787555","Tcell"
"442",442,"SRR10787575","Bcell_Mem"
"443",443,"SRR10787605","Macrophage"
"444",444,"SRR10787615","Tcell"
"445",445,"SRR10787620","Dendritic"
"446",446,"SRR10787650","pDCs"
"447",447,"SRR10787750","Tcell"
"448",448,"SRR10787760","Mast"
"449",449,"SRR10787765","Bcell_Mem"
"450",450,"SRR10787770","Macrophage"
"451",451,"SRR10787775","Tcell"
"452",452,"SRR10787780","Tcell"
"453",453,"SRR10787805","Dendritic"
"454",454,"SRR10787815","Tcell"
"455",455,"SRR10787820","Macrophage"
"456",456,"SRR10787830","Tcell"
"457",457,"SRR10787835","Bcell"
"458",458,"SRR10787840","Tcell"
"459",459,"SRR10787880","Bcell_PB"
"460",460,"SRR10787885","Macrophage"
"461",461,"SRR10787900","Bcell_PB"
"462",462,"SRR10787945","Tcell"
"463",463,"SRR10787950","Bcell_PB"
"464",464,"SRR10787970","Macrophage"
"465",465,"SRR10788000","Macrophage"
"466",466,"SRR10788005","Tcell"
"467",467,"SRR10788015","Tcell"
"468",468,"SRR10788025","Bcell_Mem"
"469",469,"SRR10788040","Bcell_PB"
"470",470,"SRR10788050","Macrophage"
"471",471,"SRR10788080","Macrophage"
"472",472,"SRR10788110","Bcell_Mem"
"473",473,"SRR10788170","Macrophage"
"474",474,"SRR10788185","Bcell_Mem"
"475",475,"SRR10788195","Tcell"
"476",476,"SRR10788205","Bcell_PB"
"477",477,"SRR10788240","Neutrophils"
"478",478,"SRR10788250","Tcell"
"479",479,"SRR10788295","Tcell"
"480",480,"SRR10788370","Tcell"
"481",481,"SRR10788385","Bcell_Mem"
"482",482,"SRR10788390","Macrophage"
"483",483,"SRR10788420","Macrophage"
"484",484,"SRR10788465","Macrophage"
"485",485,"SRR10788470","Macrophage"
"486",486,"SRR10788525","Tcell"
"487",487,"SRR10788530","Macrophage"
"488",488,"SRR10788540","Bcell_PB"
"489",489,"SRR10788545","Tcell"
"490",490,"SRR10788590","pDCs"
"491",491,"SRR10788600","Tcell"
"492",492,"SRR10788625","Tcell"
"493",493,"SRR10788650","Macrophage"
"494",494,"SRR10788670","Bcell_Mem"
"495",495,"SRR10788685","Macrophage"
"496",496,"SRR10788720","Macrophage"
"497",497,"SRR10788745","Tcell"
"498",498,"SRR10788760","Bcell_Mem"
"499",499,"SRR10788785","Tcell"
"500",500,"SRR10788790","Macrophage"
"501",501,"SRR10788805","Macrophage"
"502",502,"SRR10788810","Tcell"
"503",503,"SRR10788815","Tcell"
"504",504,"SRR10788830","Dendritic"
"505",505,"SRR10788875","Bcell_PB"
"506",506,"SRR10788885","Tcell"
"507",507,"SRR10788900","Macrophage"
"508",508,"SRR10788925","Macrophage"
"509",509,"SRR10788950","Macrophage"
"510",510,"SRR10788955","Tcell"
"511",511,"SRR10788965","Tcell"
"512",512,"SRR10788985","Bcell_Mem"
"513",513,"SRR10788995","Tcell"
"514",514,"SRR10789040","Mast"
"515",515,"SRR10789045","Bcell_Mem"
"516",516,"SRR10789055","Macrophage"
"517",517,"SRR10789070","Macrophage"
"518",518,"SRR10789075","Bcell_PB"
"519",519,"SRR10789080","Bcell_Mem"
"520",520,"SRR10789095","Macrophage"
"521",521,"SRR10789195","Macrophage"
"522",522,"SRR10789295","Tcell"
"523",523,"SRR10789300","Macrophage"
"524",524,"SRR10789315","Macrophage"
"525",525,"SRR10789325","Tcell"
"526",526,"SRR10789330","Macrophage"
"527",527,"SRR10789350","Macrophage"
"528",528,"SRR10789355","Bcell_Mem"
"529",529,"SRR10789360","Macrophage"
"530",530,"SRR10789375","Tcell"
"531",531,"SRR10789430","Dendritic"
"532",532,"SRR10789450","Bcell"
"533",533,"SRR10789465","Bcell_PB"
"534",534,"SRR10789490","Macrophage"
"535",535,"SRR10789495","Bcell"
"536",536,"SRR10789505","Dendritic"
"537",537,"SRR10789555","Macrophage"
"538",538,"SRR10789590","Macrophage"
"539",539,"SRR10789625","Bcell_PB"
"540",540,"SRR10789650","Macrophage"
"541",541,"SRR10789665","Tcell"
"542",542,"SRR10789680","Bcell_Mem"
"543",543,"SRR10789685","Tcell"
"544",544,"SRR10789695","Tcell"
"545",545,"SRR10789710","Dendritic"
"546",546,"SRR10789750","Tcell"
"547",547,"SRR10789800","Tcell"
"548",548,"SRR10789885","Tcell"
"549",549,"SRR10789895","Dendritic"
"550",550,"SRR10789900","Bcell_PB"
"551",551,"SRR10789970","Tcell"
"552",552,"SRR10790090","Dendritic"
"553",553,"SRR10790110","Bcell_PB"
"554",554,"SRR10790115","Bcell_Mem"
"555",555,"SRR10790160","Bcell_PB"
"556",556,"SRR10790185","Bcell_PB"
"557",557,"SRR10790235","Macrophage"
"558",558,"SRR10790275","Tcell"
"559",559,"SRR10790305","Dendritic"
"560",560,"SRR10790350","Macrophage"
"561",561,"SRR10790365","Tcell"
"562",562,"SRR10790370","Bcell_PB"
"563",563,"SRR10790400","Bcell_PB"
"564",564,"SRR10790430","Macrophage"
"565",565,"SRR10790460","Macrophage"
"566",566,"SRR10790495","Bcell_Mem"
"567",567,"SRR10790610","Bcell_PB"
"568",568,"SRR10790615","Dendritic"
"569",569,"SRR10790650","Tcell"
"570",570,"SRR10790655","Bcell"
"571",571,"SRR10790750","Tcell"
"572",572,"SRR10790790","Tcell"
"573",573,"SRR10791065","pDCs"
"574",574,"SRR10791245","Bcell_Mem"
"575",575,"SRR10791275","Macrophage"
"576",576,"SRR10791280","Tcell"
"577",577,"SRR10791740","Tcell"
"578",578,"SRR10791775","Macrophage"
"579",579,"SRR10791780","Macrophage"
"580",580,"SRR10791795","Tcell"
"581",581,"SRR10795125","Tcell"
"582",582,"SRR10795150","Macrophage"
"583",583,"SRR10795180","Tcell"
"584",584,"SRR10795185","Bcell_Mem"
"585",585,"SRR10795245","Neutrophils"
"586",586,"SRR10795260","Bcell_PB"
"587",587,"SRR10795275","Tcell"
"588",588,"SRR10795320","Neutrophils"
"589",589,"SRR10795330","Tcell"
"590",590,"SRR10795335","Tcell"
"591",591,"SRR10795340","Neutrophils"
"592",592,"SRR10795365","Bcell_PB"
"593",593,"SRR10795385","Bcell_PB"
"594",594,"SRR10795395","Tcell"
"595",595,"SRR10795430","Dendritic"
"596",596,"SRR10795435","Bcell_PB"
"597",597,"SRR10795455","Bcell_PB"
"598",598,"SRR10795460","Bcell"
"599",599,"SRR10795495","Tcell"
"600",600,"SRR10795500","Tcell"
"601",601,"SRR10795505","Bcell_Mem"
"602",602,"SRR10795520","Tcell"
"603",603,"SRR10795535","Macrophage"
"604",604,"SRR10795560","Tcell"
"605",605,"SRR10795570","Bcell_Mem"
"606",606,"SRR10795595","Mast"
"607",607,"SRR10795600","Bcell_PB"
"608",608,"SRR10795625","Bcell"
"609",609,"SRR10795650","Bcell_PB"
"610",610,"SRR10795700","Bcell_Mem"
"611",611,"SRR10795740","Macrophage"
"612",612,"SRR10795745","Bcell_PB"
"613",613,"SRR10795750","Tcell"
"614",614,"SRR10795755","Bcell_PB"
"615",615,"SRR10795775","Bcell_PB"
"616",616,"SRR10795810","Bcell_Mem"
"617",617,"SRR10795825","Macrophage"
"618",618,"SRR10795830","Tcell"
"619",619,"SRR10795835","Macrophage"
"620",620,"SRR10795840","Dendritic"
"621",621,"SRR10795865","Macrophage"
"622",622,"SRR10795895","Bcell_PB"
"623",623,"SRR10795905","Bcell_Mem"
"624",624,"SRR10795910","Macrophage"
"625",625,"SRR10795930","Macrophage"
"626",626,"SRR10795955","Tcell"
"627",627,"SRR10796060","Bcell_Mem"
"628",628,"SRR10796065","Macrophage"
"629",629,"SRR10796085","Macrophage"
"630",630,"SRR10796105","Macrophage"
"631",631,"SRR10796130","Bcell_PB"
"632",632,"SRR10796140","Tcell"
"633",633,"SRR10796145","Bcell_PB"
"634",634,"SRR10796185","Macrophage"
"635",635,"SRR10796195","Bcell_PB"
"636",636,"SRR10796210","Macrophage"
"637",637,"SRR10796215","Bcell_PB"
"638",638,"SRR10796280","Tcell"
"639",639,"SRR10796340","Macrophage"
"640",640,"SRR10796370","Macrophage"
"641",641,"SRR10796375","Tcell"
"642",642,"SRR10796385","Tcell"
"643",643,"SRR10796420","Macrophage"
"644",644,"SRR10796455","Tcell"
"645",645,"SRR10796475","Macrophage"
"646",646,"SRR10796505","Tcell"
"647",647,"SRR10796605","Macrophage"
"648",648,"SRR10796610","Tcell"
"649",649,"SRR10796680","Macrophage"
"650",650,"SRR10796705","Tcell"
"651",651,"SRR10796710","Bcell_PB"
"652",652,"SRR10796720","Macrophage"
"653",653,"SRR10796745","Macrophage"
"654",654,"SRR10796750","Tcell"
"655",655,"SRR10796880","Mast"
"656",656,"SRR10796885","Macrophage"
"657",657,"SRR10796890","Tcell"
"658",658,"SRR10796900","Bcell_PB"
"659",659,"SRR10796910","Macrophage"
"660",660,"SRR10796920","Tcell"
"661",661,"SRR10796975","Tcell"
"662",662,"SRR10796980","Macrophage"
"663",663,"SRR10797015","Macrophage"
"664",664,"SRR10797085","Tcell"
"665",665,"SRR10797100","Bcell_Mem"
"666",666,"SRR10797115","Tcell"
"667",667,"SRR10797120","Tcell"
"668",668,"SRR10797150","Tcell"
"669",669,"SRR10797210","Dendritic"
"670",670,"SRR10797245","Bcell_PB"
"671",671,"SRR10797250","Macrophage"
"672",672,"SRR10797270","Bcell_PB"
"673",673,"SRR10797295","Tcell"
"674",674,"SRR10797325","Tcell"
"675",675,"SRR10797340","Macrophage"
"676",676,"SRR10797375","Tcell"
"677",677,"SRR10797395","Tcell"
"678",678,"SRR10797430","Macrophage"
"679",679,"SRR10797435","Macrophage"
"680",680,"SRR10797445","Macrophage"
"681",681,"SRR10797465","Bcell_PB"
"682",682,"SRR10797485","Bcell_PB"
"683",683,"SRR10797490","Tcell"
"684",684,"SRR10797500","Macrophage"
"685",685,"SRR10797525","Macrophage"
"686",686,"SRR10797535","Bcell_PB"
"687",687,"SRR10797565","Bcell_Mem"
"688",688,"SRR10797590","Tcell"
